service_id,maintenance_id,equipment_id,technician_id,service_date,service_type,service_shift,meter_reading_hours,inspection_finding,diagnostic_method,root_cause_confirmed,repair_or_service_action,part_replaced,test_after_service,service_duration_hours,downtime_hours,service_cost,next_service_due,service_status,technician_notes
SR-00068,MR-00068,EQ-0132,TECH-0912,2024-05-15,Inspection,Evening,17613,Hydraulic Oil: Internal pump leakage; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,blocked cooler core,replaced damaged hose and pressure-tested circuit,Cooler gasket set,Functional test passed,12.03,8.72,58253.92,2024-11-15,Follow-up Required,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00069,MR-00069,EQ-0118,TECH-0895,2024-05-15,Condition-Based,Night,10540,Hydraulic Filter: Internal pump leakage; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,Pressure test passed,3.83,1.7,67103.92,2024-11-15,Follow-up Required,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00070,MR-00070,EQ-0190,TECH-0150,2024-05-15,Preventive,Night,13035,Hydraulic Filter: Oil contamination; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,contaminated hydraulic oil,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,Leak test passed,5.76,9.63,74479.89,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00071,MR-00071,EQ-0211,TECH-0504,2024-05-15,Inspection,Day,14345,Boom Cylinder: Cooler restriction; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,air entering suction line,inspected hydraulic circuit and isolated affected component,Pump seal kit,Functional test passed,13.17,4.15,48210.64,2024-11-15,Follow-up Required,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00072,MR-00072,EQ-0205,TECH-0812,2024-05-15,Condition-Based,Evening,13113,Hydraulic Oil: Valve spool binding; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Leak test passed,1.93,9.19,35517.99,2024-11-15,Closed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00073,MR-00073,EQ-0219,TECH-0461,2024-05-15,Corrective,Evening,8758,Hydraulic Line: Valve spool binding; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Leak test passed,14.6,3.82,68515.31,2024-11-15,Follow-up Required,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00074,MR-00074,EQ-0173,TECH-0951,2024-05-15,Preventive,Day,7437,Hydraulic Oil: Pilot pressure drop; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,high oil temperature,inspected hydraulic circuit and isolated affected component,Valve O-rings,Leak test passed,10.52,7.16,47846.82,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00075,MR-00075,EQ-0104,TECH-0614,2024-05-15,Preventive,Evening,9452,Pilot System: Cylinder seal wear; observed symptom: pump noise increases during operation.,Temperature and pressure checks,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Leak test passed,5.07,1.74,39598.51,2024-11-15,Closed,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00076,MR-00076,EQ-0214,TECH-0919,2024-05-15,Condition-Based,Night,10134,Hydraulic Pump: Pilot pressure drop; observed symptom: pump noise increases during operation.,Temperature and pressure checks,high oil temperature,tested pilot pressure and inspected pilot circuit,Return filter element,Pressure test passed,5.02,7.96,14204.71,2024-11-15,Closed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00077,MR-00077,EQ-0170,TECH-0961,2024-05-15,Preventive,Day,8442,Main Control Valve: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,Pressure test passed,9.12,1.46,61468.6,2024-11-15,Closed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00078,MR-00078,EQ-0133,TECH-0701,2024-05-15,Inspection,Day,9506,Pilot System: Accumulator pressure loss; observed symptom: travel function loses power on incline.,Temperature and pressure checks,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Return filter element,Functional test passed,10.03,5.37,26273.2,2024-11-15,Completed,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00079,MR-00079,EQ-0159,TECH-0216,2024-05-15,Condition-Based,Night,7534,Hydraulic Line: Valve spool binding; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Functional test passed,14.26,6.23,12684.9,2024-11-15,Closed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00080,MR-00080,EQ-0176,TECH-0682,2024-05-15,Preventive,Evening,8930,Accumulator: Filter blockage; observed symptom: travel function loses power on incline.,Operational test under load,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Operational test passed,15.34,0.7,47887.95,2024-11-15,Follow-up Required,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00081,MR-00081,EQ-0116,TECH-0332,2024-05-15,Inspection,Day,14554,Arm Cylinder: Cooler restriction; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,high oil temperature,replaced damaged hose and pressure-tested circuit,Hydraulic oil,Pressure test passed,2.24,5.0,31576.44,2024-11-15,Completed - Monitor,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00082,MR-00082,EQ-0137,TECH-0106,2024-05-15,Preventive,Day,3727,Swing Motor: Oil contamination; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,air entering suction line,inspected hydraulic circuit and isolated affected component,Hydraulic hose,Functional test passed,3.84,0.29,71078.1,2024-11-15,Follow-up Required,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00083,MR-00083,EQ-0114,TECH-0364,2024-05-15,Corrective,Evening,11879,Oil Cooler: Internal pump leakage; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,blocked cooler core,replaced damaged hose and pressure-tested circuit,Return filter element,Pressure test passed,11.37,10.89,38613.32,2024-11-15,Closed,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00084,MR-00084,EQ-0122,TECH-0685,2024-05-15,Corrective,Night,1635,Oil Cooler: Oil contamination; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Functional test passed,11.77,1.63,63156.12,2024-11-15,Closed,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00085,MR-00085,EQ-0200,TECH-0346,2024-05-15,Corrective,Day,13249,Travel Motor: Cylinder seal wear; observed symptom: hydraulic oil temperature rises during continuous operation.,Visual inspection and pressure test,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Return filter element,Pressure test passed,1.84,1.65,35963.4,2024-11-15,Follow-up Required,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00086,MR-00086,EQ-0140,TECH-0238,2024-05-15,Preventive,Night,8508,Swing Motor: Filter blockage; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,high oil temperature,replaced damaged hose and pressure-tested circuit,Valve O-rings,Leak test passed,1.95,5.18,34314.79,2024-11-15,Completed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00087,MR-00087,EQ-0119,TECH-0735,2024-05-15,Inspection,Day,5462,Hydraulic Pump: Accumulator pressure loss; observed symptom: hydraulic oil temperature rises during continuous operation.,Visual inspection and pressure test,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Leak test passed,5.03,0.44,75916.15,2024-11-15,Closed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00088,MR-00088,EQ-0188,TECH-0680,2024-05-15,Preventive,Night,6377,Swing Motor: Internal pump leakage; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,high oil temperature,replaced damaged hose and pressure-tested circuit,Return filter element,Leak test passed,12.42,5.36,23034.47,2024-11-15,Completed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00089,MR-00089,EQ-0129,TECH-0572,2024-05-15,Preventive,Day,15638,Accumulator: Valve spool binding; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,blocked cooler core,inspected hydraulic circuit and isolated affected component,Hydraulic oil,Leak test passed,9.27,2.68,54828.48,2024-11-15,Follow-up Required,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00090,MR-00090,EQ-0146,TECH-0414,2024-05-15,Corrective,Evening,8711,Hydraulic Pump: Cylinder seal wear; observed symptom: travel function loses power on incline.,Operational test under load,high oil temperature,replaced damaged hose and pressure-tested circuit,Cooler gasket set,Functional test passed,14.99,9.79,19930.65,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00091,MR-00091,EQ-0112,TECH-0806,2024-05-15,Corrective,Night,12671,Hydraulic Filter: Line restriction; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,blocked cooler core,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,Leak test passed,10.6,7.85,25213.72,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
